               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.015562,            0.025127,          0.00094762,             0.98633,              0.9859,             0.99428,             0.91491,            0.012216,            0.021561,          0.00037894,            0.007195,            0.007195,            0.007195
                  36,            0.015509,             0.02492,          0.00094568,             0.98651,             0.98583,             0.99429,              0.9154,            0.012178,            0.021487,          0.00037566,           0.0071125,           0.0071125,           0.0071125
                  37,            0.015402,            0.024751,          0.00091691,             0.98637,             0.98612,              0.9943,             0.91537,            0.012137,            0.021415,          0.00037216,             0.00703,             0.00703,             0.00703
                  38,            0.015397,            0.024772,          0.00093066,             0.98596,             0.98632,              0.9943,             0.91589,            0.012097,            0.021347,          0.00036862,           0.0069475,           0.0069475,           0.0069475
                  39,            0.015317,            0.024639,          0.00092495,             0.98644,             0.98559,             0.99432,             0.91638,            0.012056,             0.02127,          0.00036534,            0.006865,            0.006865,            0.006865
                  40,            0.015259,            0.024623,          0.00089886,             0.98642,             0.98571,             0.99433,             0.91749,            0.012017,            0.021199,          0.00036247,           0.0067825,           0.0067825,           0.0067825
                  41,            0.015258,             0.02453,          0.00090738,             0.98532,             0.98729,             0.99433,              0.9181,            0.011977,            0.021123,           0.0003598,              0.0067,              0.0067,              0.0067
                  42,            0.015213,             0.02451,          0.00089912,             0.98451,             0.98813,             0.99434,             0.91863,            0.011941,            0.021052,          0.00035696,           0.0066175,           0.0066175,           0.0066175
                  43,            0.015173,            0.024448,          0.00088904,             0.98372,             0.98879,             0.99433,             0.91925,            0.011903,            0.020982,          0.00035419,            0.006535,            0.006535,            0.006535
                  44,            0.015112,            0.024273,           0.0008824,             0.98276,             0.99046,             0.99435,              0.9196,            0.011866,            0.020913,          0.00035172,           0.0064525,           0.0064525,           0.0064525
                  45,            0.015038,            0.024123,          0.00088124,             0.98557,             0.98798,             0.99433,             0.92045,             0.01183,            0.020852,          0.00034922,             0.00637,             0.00637,             0.00637
                  46,            0.015032,            0.024153,           0.0008772,             0.98353,             0.98989,             0.99435,              0.9204,            0.011795,            0.020788,          0.00034741,           0.0062875,           0.0062875,           0.0062875
                  47,            0.014939,             0.02399,          0.00086565,             0.98399,             0.98991,             0.99437,             0.92112,            0.011758,            0.020722,          0.00034555,            0.006205,            0.006205,            0.006205
                  48,            0.014939,            0.023962,          0.00086271,             0.98384,             0.99043,             0.99439,              0.9218,            0.011721,            0.020653,          0.00034335,           0.0061225,           0.0061225,           0.0061225
                  49,            0.014856,            0.023884,          0.00085127,             0.98444,             0.99029,             0.99442,              0.9216,            0.011685,            0.020586,          0.00034097,             0.00604,             0.00604,             0.00604
                  50,            0.014849,            0.023837,          0.00084749,             0.98386,             0.99077,             0.99445,             0.92259,             0.01165,            0.020518,          0.00033868,           0.0059575,           0.0059575,           0.0059575
                  51,             0.01479,            0.023758,          0.00084569,             0.98493,             0.99027,             0.99445,             0.92355,            0.011614,            0.020451,           0.0003363,            0.005875,            0.005875,            0.005875
                  52,            0.014723,            0.023598,           0.0008394,             0.98487,             0.99056,             0.99446,             0.92382,            0.011581,            0.020389,          0.00033438,           0.0057925,           0.0057925,           0.0057925
                  53,            0.014682,            0.023507,          0.00084116,             0.98481,             0.99009,             0.99445,               0.924,            0.011546,            0.020325,          0.00033273,             0.00571,             0.00571,             0.00571
                  54,            0.014646,            0.023516,          0.00082308,              0.9847,             0.99078,             0.99446,             0.92462,            0.011513,            0.020262,          0.00033084,           0.0056275,           0.0056275,           0.0056275
                  55,            0.014615,            0.023474,          0.00081354,             0.98314,             0.99217,             0.99446,             0.92529,             0.01148,              0.0202,          0.00032941,            0.005545,            0.005545,            0.005545
                  56,            0.014575,            0.023368,          0.00081971,             0.98348,             0.99225,             0.99446,             0.92489,            0.011448,            0.020143,          0.00032759,           0.0054625,           0.0054625,           0.0054625
                  57,            0.014524,            0.023234,          0.00079674,             0.98313,             0.99251,             0.99444,             0.92536,            0.011415,            0.020082,          0.00032555,             0.00538,             0.00538,             0.00538
                  58,             0.01448,            0.023196,          0.00079471,             0.98329,             0.99212,             0.99445,             0.92577,            0.011382,             0.02002,          0.00032379,           0.0052975,           0.0052975,           0.0052975
                  59,            0.014406,            0.023084,          0.00078882,             0.98376,             0.99127,             0.99445,             0.92648,            0.011348,            0.019959,          0.00032201,            0.005215,            0.005215,            0.005215
                  60,            0.014372,             0.02305,          0.00078913,             0.98642,             0.98917,             0.99445,              0.9268,            0.011315,            0.019899,          0.00032014,           0.0051325,           0.0051325,           0.0051325
                  61,            0.014312,            0.022928,          0.00077692,             0.98488,             0.99054,             0.99445,             0.92778,            0.011282,            0.019839,          0.00031861,             0.00505,             0.00505,             0.00505
                  62,            0.014276,            0.022893,          0.00077891,             0.98692,             0.98948,             0.99442,             0.92835,            0.011248,            0.019777,          0.00031699,           0.0049675,           0.0049675,           0.0049675
                  63,            0.014261,             0.02281,          0.00077583,              0.9868,             0.98974,             0.99439,             0.92855,            0.011217,            0.019721,          0.00031557,            0.004885,            0.004885,            0.004885
                  64,            0.014186,            0.022777,          0.00075943,             0.98654,             0.99011,             0.99438,             0.92887,            0.011184,            0.019668,          0.00031426,           0.0048025,           0.0048025,           0.0048025
                  65,            0.014137,            0.022609,          0.00076103,             0.98651,             0.99027,             0.99438,             0.92886,            0.011156,            0.019619,          0.00031288,             0.00472,             0.00472,             0.00472
                  66,             0.01407,            0.022588,          0.00075311,             0.98611,             0.99065,              0.9944,             0.92976,            0.011125,            0.019564,          0.00031158,           0.0046375,           0.0046375,           0.0046375
                  67,             0.01403,            0.022424,          0.00074106,             0.98577,             0.99095,             0.99438,             0.92984,            0.011095,            0.019512,          0.00031043,            0.004555,            0.004555,            0.004555
                  68,            0.014017,            0.022535,          0.00075565,              0.9859,             0.99076,             0.99438,              0.9302,            0.011064,            0.019453,          0.00030926,           0.0044725,           0.0044725,           0.0044725
                  69,            0.013957,            0.022378,          0.00074661,             0.98595,             0.99144,             0.99439,             0.93051,            0.011032,            0.019396,          0.00030803,             0.00439,             0.00439,             0.00439
                  70,            0.013884,            0.022208,          0.00073529,             0.98549,             0.99152,             0.99438,             0.93082,            0.011002,            0.019343,          0.00030689,           0.0043075,           0.0043075,           0.0043075
                  71,            0.013843,            0.022192,          0.00073296,             0.98543,             0.99234,             0.99434,             0.93127,            0.010969,            0.019288,          0.00030584,            0.004225,            0.004225,            0.004225
                  72,            0.013804,            0.022107,          0.00072311,             0.98577,             0.99256,             0.99435,             0.93152,            0.010936,            0.019231,          0.00030499,           0.0041425,           0.0041425,           0.0041425
                  73,            0.013778,            0.022091,           0.0007219,             0.98567,             0.99301,             0.99427,             0.93184,            0.010903,            0.019175,          0.00030394,             0.00406,             0.00406,             0.00406
                  74,            0.013724,            0.021951,          0.00072107,             0.98563,             0.99269,             0.99427,             0.93199,            0.010874,            0.019124,           0.0003027,           0.0039775,           0.0039775,           0.0039775
                  75,            0.013624,            0.021886,          0.00070268,             0.98623,             0.99249,             0.99427,             0.93255,            0.010843,            0.019077,          0.00030169,            0.003895,            0.003895,            0.003895
                  76,            0.013613,            0.021885,          0.00070917,             0.98643,             0.99228,             0.99429,               0.933,             0.01081,            0.019022,          0.00030074,           0.0038125,           0.0038125,           0.0038125
                  77,            0.013595,            0.021727,          0.00071904,             0.98695,             0.99161,             0.99429,             0.93297,            0.010778,            0.018968,          0.00029916,             0.00373,             0.00373,             0.00373
                  78,            0.013456,            0.021509,          0.00068369,             0.98611,             0.99186,             0.99432,             0.93344,            0.010746,             0.01891,          0.00029802,           0.0036475,           0.0036475,           0.0036475
                  79,            0.013419,             0.02155,          0.00068294,              0.9876,             0.99149,              0.9943,             0.93434,            0.010713,            0.018856,          0.00029675,            0.003565,            0.003565,            0.003565
